title,release_year,runtime_minutes,imdb_rating,Meta_score,No_of_Votes,Genre
The Martian,2015,144,8.0,80,760094,"Adventure, Drama, Sci-Fi"
The Revenant,2015,156,8.0,76,705589,"Action, Adventure, Drama"
Bajrangi Bhaijaan,2015,163,8.0,,72245,"Action, Adventure, Comedy"
Bãhubali: The Beginning,2015,159,8.0,,102972,"Action, Drama"
Deadpool,2016,108,8.0,65,902669,"Action, Adventure, Comedy"
Airlift,2016,130,8.0,,52897,"Drama, History"
Lion,2016,118,8.0,69,213970,"Biography, Drama"
La La Land,2016,128,8.0,94,505918,"Comedy, Drama, Music"
Zootopia,2016,108,8.0,78,434143,"Animation, Adventure, Comedy"
Blade Runner 2049,2017,164,8.0,81,461823,"Action, Drama, Mystery"
Wonder,2017,113,8.0,66,141923,"Drama, Family"
Bohemian Rhapsody,2018,134,8.0,49,450349,"Biography, Drama, Music"
Badhaai ho,2018,124,8.0,,27978,"Comedy, Drama"
Togo,2019,113,8.0,69,37556,"Adventure, Biography, Drama"
Gully Boy,2019,154,8.0,65,31886,"Drama, Music, Romance"
Das Cabinet des Dr. Caligari,1920,76,8.1,,57428,"Fantasy, Horror, Mystery"
The General,1926,67,8.1,,81156,"Action, Adventure, Comedy"
Sunrise: A Song of Two Humans,1927,94,8.1,,46865,"Drama, Romance"
The Circus,1928,72,8.1,90,30205,"Comedy, Romance"
La passion de Jeanne d'Arc,1928,110,8.1,,47676,"Biography, Drama, History"
It Happened One Night,1934,105,8.1,87,94016,"Comedy, Romance"
La Grande Illusion,1937,113,8.1,,33829,"Drama, War"
Mr. Smith Goes to Washington,1939,129,8.1,73,107017,"Comedy, Drama"
Gone with the Wind,1939,238,8.1,97,290074,"Drama, History, Romance"
Rebecca,1940,130,8.1,86,123942,"Drama, Mystery, Romance"
The Shop Around the Corner,1940,99,8.1,96,28450,"Comedy, Drama, Romance"
The Red Shoes,1948,135,8.1,,30935,"Drama, Music, Romance"
The Third Man,1949,104,8.1,97,158731,"Film-Noir, Mystery, Thriller"
White Heat,1949,114,8.1,,29807,"Action, Crime, Drama"
Ace in the Hole,1951,111,8.1,72,31568,"Drama, Film-Noir"
Le salaire de la peur,1953,131,8.1,85,54588,"Adventure, Drama, Thriller"
On the Waterfront,1954,108,8.1,91,142107,"Crime, Drama, Thriller"
The Bridge on the River Kwai,1957,161,8.1,87,203463,"Adventure, Drama, War"
Kumonosu-jô,1957,110,8.1,,46678,"Drama, History"
Le notti di Cabiria,1957,110,8.1,,42940,Drama
Kakushi-toride no san-akunin,1958,139,8.1,,34797,"Adventure, Drama"
Ben-Hur,1959,212,8.1,90,219466,"Adventure, Drama, History"
Les quatre cents coups,1959,99,8.1,,105291,"Crime, Drama"
Jungfrukällan,1960,89,8.1,,26697,Drama
Inherit the Wind,1960,128,8.1,75,27254,"Biography, Drama, History"
El ángel exterminador,1962,95,8.1,,29682,"Drama, Fantasy"
What Ever Happened to Baby Jane?,1962,134,8.1,75,50058,"Drama, Horror, Thriller"
Sanjuro,1962,96,8.1,,33044,"Action, Comedy, Crime"
Ivanovo detstvo,1962,95,8.1,,31728,"Drama, War"
The Man Who Shot Liberty Valance,1962,123,8.1,94,68827,"Drama, Western"
La battaglia di Algeri,1966,121,8.1,96,53089,"Drama, War"
Andrei Rublev,1966,205,8.1,,46947,"Biography, Drama, History"
Persona,1966,85,8.1,86,103191,"Drama, Thriller"
Le samouraï,1967,105,8.1,,45434,"Crime, Drama, Mystery"
Cool Hand Luke,1967,127,8.1,92,161984,"Crime, Drama"
Solaris,1972,167,8.1,90,81021,"Drama, Mystery, Sci-Fi"
Viskningar och rop,1972,91,8.1,,30206,Drama
Paper Moon,1973,102,8.1,77,42285,"Comedy, Crime, Drama"
Chinatown,1974,130,8.1,92,294230,"Drama, Mystery, Thriller"
Zerkalo,1975,107,8.1,,40081,"Biography, Drama"
Barry Lyndon,1975,185,8.1,89,149843,"Adventure, Drama, History"
Rocky,1976,120,8.1,70,518546,"Drama, Sport"
Network,1976,121,8.1,83,144911,Drama
The Deer Hunter,1978,183,8.1,86,311361,"Drama, War"
Life of Brian,1979,94,8.1,77,367250,Comedy
The Elephant Man,1980,124,8.1,78,220078,"Biography, Drama"
Fanny och Alexander,1982,188,8.1,100,57784,Drama
The Thing,1982,109,8.1,57,371271,"Horror, Mystery, Sci-Fi"
Pink Floyd: The Wall,1982,95,8.1,47,76081,"Drama, Fantasy, Music"
Fitzcarraldo,1982,158,8.1,,31595,"Adventure, Drama"
Blade Runner,1982,117,8.1,84,693827,"Action, Sci-Fi, Thriller"
"Paris, Texas",1984,145,8.1,78,91188,Drama
Kaze no tani no Naushika,1984,117,8.1,86,150924,"Animation, Adventure, Fantasy"
Stand by Me,1986,89,8.1,75,363401,"Adventure, Drama"
Platoon,1986,120,8.1,92,381222,"Drama, War"
Dead Poets Society,1989,128,8.1,79,425457,"Comedy, Drama"
Dà hóng denglong gaogao guà,1991,125,8.1,,29662,"Drama, History, Romance"
In the Name of the Father,1993,133,8.1,84,156842,"Biography, Crime, Drama"
Jurassic Park,1993,127,8.1,68,867615,"Action, Adventure, Sci-Fi"
Ba wang bie ji,1993,171,8.1,,25088,"Drama, Music, Romance"
Trois couleurs: Rouge,1994,99,8.1,100,90729,"Drama, Mystery, Romance"
Chung Hing sam lam,1994,102,8.1,77,63122,"Comedy, Crime, Drama"
La haine,1995,98,8.1,,150345,"Crime, Drama"
Before Sunrise,1995,101,8.1,77,272291,"Drama, Romance"
Underground,1995,170,8.1,,55220,"Comedy, Drama, War"
Dilwale Dulhania Le Jayenge,1995,189,8.1,,63516,"Drama, Romance"
Trainspotting,1996,93,8.1,83,634716,Drama
Fargo,1996,98,8.1,85,617444,"Crime, Drama, Thriller"
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,87,8.1,,38847,"Animation, Action, Drama"
"Crna macka, beli macor",1998,127,8.1,73,50862,"Comedy, Crime, Romance"
The Truman Show,1998,103,8.1,90,939631,"Comedy, Drama"
The Big Lebowski,1998,117,8.1,71,732620,"Comedy, Crime, Sport"
La leggenda del pianista sull'oceano,1998,169,8.1,58,59020,"Drama, Music, Romance"
The Sixth Sense,1999,107,8.1,64,911573,"Drama, Mystery, Thriller"
Fa yeung nin wah,2000,98,8.1,85,124383,"Drama, Romance"
Amores perros,2000,154,8.1,83,223741,"Drama, Thriller"
Dil Chahta Hai,2001,183,8.1,,66803,"Comedy, Drama, Romance"
Lagaan: Once Upon a Time in India,2001,224,8.1,84,105036,"Adventure, Drama, Musical"
"Monsters, Inc.",2001,92,8.1,79,815505,"Animation, Adventure, Comedy"
Catch Me If You Can,2002,141,8.1,75,832846,"Biography, Crime, Drama"
Munna Bhai M.B.B.S.,2003,156,8.1,,73992,"Comedy, Drama, Musical"
Kill Bill: Vol. 1,2003,111,8.1,69,1000639,"Action, Crime, Drama"
Finding Nemo,2003,100,8.1,90,949565,"Animation, Adventure, Comedy"
Salinui chueok,2003,131,8.1,82,139558,"Crime, Drama, Mystery"
Before Sunset,2004,80,8.1,90,236311,"Drama, Romance"
Taegukgi hwinalrimyeo,2004,140,8.1,64,37820,"Action, Drama, War"
Million Dollar Baby,2004,132,8.1,86,635975,"Drama, Sport"
Hotel Rwanda,2004,121,8.1,79,334320,"Biography, Drama, History"
Lage Raho Munna Bhai,2006,144,8.1,,43137,"Comedy, Drama, Romance"
Into the Wild,2007,148,8.1,73,572921,"Adventure, Biography, Drama"
No Country for Old Men,2007,122,8.1,91,856916,"Crime, Drama, Thriller"
A Wednesday,2008,104,8.1,,73891,"Action, Crime, Drama"
Okuribito,2008,130,8.1,68,48582,"Drama, Music"
Gran Torino,2008,116,8.1,72,720450,Drama
Hachi: A Dog's Tale,2009,93,8.1,,253575,"Biography, Drama, Family"
Mary and Max,2009,92,8.1,,164462,"Animation, Comedy, Drama"
How to Train Your Dragon,2010,98,8.1,75,666773,"Animation, Action, Adventure"
Zindagi Na Milegi Dobara,2011,155,8.1,,67927,"Comedy, Drama"
Harry Potter and the Deathly Hallows: Part 2,2011,130,8.1,85,764493,"Adventure, Drama, Fantasy"
OMG: Oh My God!,2012,125,8.1,,51739,"Comedy, Drama, Fantasy"
Barfi!,2012,151,8.1,,75721,"Comedy, Drama, Romance"
Ôkami kodomo no Ame to Yuki,2012,117,8.1,71,38803,"Animation, Drama, Fantasy"
Kahaani,2012,122,8.1,,57806,"Mystery, Thriller"
Prisoners,2013,153,8.1,70,601149,"Crime, Drama, Mystery"
Rush,2013,123,8.1,74,432811,"Action, Biography, Drama"
12 Years a Slave,2013,134,8.1,96,640533,"Biography, Drama, History"
Mommy,2014,139,8.1,74,50700,Drama
Gone Girl,2014,149,8.1,79,859695,"Drama, Mystery, Thriller"
Kis Uykusu,2014,196,8.1,88,46547,Drama
Song of the Sea,2014,93,8.1,85,51679,"Animation, Adventure, Drama"
Haider,2014,160,8.1,,50445,"Action, Crime, Drama"
PK,2014,153,8.1,,163061,"Comedy, Drama, Musical"
The Grand Budapest Hotel,2014,99,8.1,88,707630,"Adventure, Comedy, Crime"
Relatos salvajes,2014,122,8.1,77,177059,"Comedy, Drama, Thriller"
Room,2015,118,8.1,86,371538,"Drama, Thriller"
Mad Max: Fury Road,2015,120,8.1,90,882316,"Action, Adventure, Sci-Fi"
Inside Out,2015,95,8.1,94,616228,"Animation, Adventure, Comedy"
Spotlight,2015,129,8.1,93,420316,"Biography, Crime, Drama"
Contratiempo,2016,106,8.1,,141516,"Crime, Drama, Mystery"
Hacksaw Ridge,2016,139,8.1,71,435928,"Biography, Drama, History"
Pink,2016,136,8.1,,39216,"Drama, Thriller"
Koe no katachi,2016,130,8.1,78,47708,"Animation, Drama, Family"
Ah-ga-ssi,2016,145,8.1,84,113649,"Drama, Romance, Thriller"
Logan,2017,137,8.1,77,647884,"Action, Drama, Sci-Fi"
Portrait de la jeune fille en feu,2019,122,8.1,95,63134,"Drama, Romance"
Ford v Ferrari,2019,152,8.1,81,291289,"Action, Biography, Drama"
Soul,2020,100,8.1,83,159171,"Animation, Adventure, Comedy"
Sherlock Jr.,1924,45,8.2,,41985,"Action, Comedy, Romance"
The Gold Rush,1925,95,8.2,,101053,"Adventure, Comedy, Drama"
To Be or Not to Be,1942,99,8.2,86,29915,"Comedy, War"
The Treasure of the Sierra Madre,1948,126,8.2,98,114304,"Adventure, Drama, Western"
Rashômon,1950,88,8.2,98,152572,"Crime, Drama, Mystery"
All About Eve,1950,138,8.2,98,120539,Drama
Tôkyô monogatari,1953,136,8.2,,53153,Drama
Dial M for Murder,1954,105,8.2,75,158335,"Crime, Thriller"
Du rififi chez les hommes,1955,118,8.2,97,28810,"Crime, Drama, Thriller"
Smultronstället,1957,91,8.2,88,96381,"Drama, Romance"
Det sjunde inseglet,1957,96,8.2,88,164939,"Drama, Fantasy, History"
Some Like It Hot,1959,121,8.2,98,243943,"Comedy, Music, Romance"
Judgment at Nuremberg,1961,179,8.2,60,69458,"Drama, War"
Yôjinbô,1961,110,8.2,,111244,"Action, Drama, Thriller"
To Kill a Mockingbird,1962,129,8.2,88,293811,"Crime, Drama"
The Great Escape,1963,172,8.2,86,224730,"Adventure, Drama, History"
Monty Python and the Holy Grail,1975,91,8.2,91,500875,"Adventure, Comedy, Fantasy"
Sholay,1975,204,8.2,,51284,"Action, Adventure, Comedy"
The Message,1976,177,8.2,,43885,"Biography, Drama, History"
Höstsonaten,1978,99,8.2,,26875,"Drama, Music"
Stalker,1979,162,8.2,,116945,"Drama, Sci-Fi"
Raging Bull,1980,129,8.2,89,321860,"Biography, Drama, Sport"
Ran,1985,162,8.2,96,112505,"Action, Drama, War"
Die Hard,1988,132,8.2,72,793164,"Action, Thriller"
Tonari no Totoro,1988,86,8.2,86,291180,"Animation, Family, Fantasy"
Dom za vesanje,1988,142,8.2,,26402,"Comedy, Crime, Drama"
Indiana Jones and the Last Crusade,1989,127,8.2,65,692366,"Action, Adventure"
Unforgiven,1992,130,8.2,85,375935,"Drama, Western"
Andaz Apna Apna,1994,160,8.2,,49300,"Action, Comedy, Romance"
Casino,1995,178,8.2,73,466276,"Crime, Drama"
Heat,1995,170,8.2,76,577113,"Crime, Drama, Thriller"
Eskiya,1996,128,8.2,,64118,"Crime, Drama, Thriller"
L.A. Confidential,1997,138,8.2,90,531967,"Crime, Drama, Mystery"
"Lock, Stock and Two Smoking Barrels",1998,107,8.2,66,535216,"Action, Comedy, Crime"
Hera Pheri,2000,156,8.2,,57057,"Action, Comedy, Crime"
A Beautiful Mind,2001,135,8.2,72,848920,"Biography, Drama"
Der Untergang,2004,156,8.2,82,331308,"Biography, Drama, History"
Hauru no ugoku shiro,2004,119,8.2,80,333915,"Animation, Adventure, Family"
"Swades: We, the People",2004,210,8.2,,83005,Drama
Black,2005,122,8.2,,33354,Drama
V for Vendetta,2005,132,8.2,62,1032749,"Action, Drama, Sci-Fi"
Batman Begins,2005,140,8.2,70,1308302,"Action, Adventure"
Pan's Labyrinth,2006,118,8.2,98,618623,"Drama, Fantasy, War"
Rang De Basanti,2006,167,8.2,,111937,"Comedy, Crime, Drama"
There Will Be Blood,2007,158,8.2,93,517359,Drama
Chak De! India,2007,153,8.2,68,74129,"Drama, Family, Sport"
Up,2009,96,8.2,88,935507,"Animation, Adventure, Comedy"
El secreto de sus ojos,2009,129,8.2,80,193217,"Drama, Mystery, Romance"
Toy Story 3,2010,103,8.2,92,757032,"Animation, Adventure, Comedy"
Shutter Island,2010,138,8.2,63,1129894,"Mystery, Thriller"
Udaan,2010,134,8.2,,42341,Drama
Warrior,2011,140,8.2,71,435950,"Action, Drama, Sport"
Gangs of Wasseypur,2012,321,8.2,89,82365,"Action, Comedy, Crime"
Paan Singh Tomar,2012,135,8.2,,33237,"Action, Biography, Crime"
Mandariinid,2013,87,8.2,73,40382,"Drama, War"
Bhaag Milkha Bhaag,2013,186,8.2,,61137,"Biography, Drama, Sport"
Queen,2013,146,8.2,,60701,"Adventure, Comedy, Drama"
The Wolf of Wall Street,2013,180,8.2,75,1187498,"Biography, Crime, Drama"
Talvar,2015,132,8.2,,31142,"Crime, Drama, Mystery"
Drishyam,2015,163,8.2,,70367,"Crime, Drama, Mystery"
"Three Billboards Outside Ebbing, Missouri",2017,115,8.2,88,432610,"Comedy, Crime, Drama"
Baahubali 2: The Conclusion,2017,167,8.2,,75348,"Action, Drama"
Uri: The Surgical Strike,2018,138,8.2,,43444,"Action, Drama, War"
Green Book,2018,130,8.2,69,377884,"Biography, Comedy, Drama"
K.G.F: Chapter 1,2018,156,8.2,,36680,"Action, Drama"
Klaus,2019,96,8.2,65,104761,"Animation, Adventure, Comedy"
Chhichhore,2019,143,8.2,,33893,"Comedy, Drama"
The Kid,1921,68,8.3,,113314,"Comedy, Drama, Family"
Metropolis,1927,153,8.3,98,159992,"Drama, Sci-Fi"
M - Eine Stadt sucht einen Mörder,1931,117,8.3,,143434,"Crime, Mystery, Thriller"
Citizen Kane,1941,119,8.3,100,403351,"Drama, Mystery"
Double Indemnity,1944,107,8.3,95,143525,"Crime, Drama, Film-Noir"
Ladri di biciclette,1948,89,8.3,,146427,Drama
Ikiru,1952,143,8.3,,68463,Drama
Singin' in the Rain,1952,103,8.3,99,218957,"Comedy, Musical, Romance"
Vertigo,1958,128,8.3,100,364368,"Mystery, Romance, Thriller"
North by Northwest,1959,136,8.3,98,299198,"Adventure, Mystery, Thriller"
The Apartment,1960,125,8.3,94,164363,"Comedy, Drama, Romance"
Lawrence of Arabia,1962,228,8.3,100,268085,"Adventure, Biography, Drama"
Per qualche dollaro in più,1965,132,8.3,74,232772,Western
2001: A Space Odyssey,1968,149,8.3,84,603517,"Adventure, Sci-Fi"
A Clockwork Orange,1971,136,8.3,77,757904,"Crime, Drama, Sci-Fi"
The Sting,1973,129,8.3,83,241513,"Comedy, Crime, Drama"
Taxi Driver,1976,114,8.3,94,724636,"Crime, Drama"
Das Boot,1981,149,8.3,86,231855,"Adventure, Drama, Thriller"
Star Wars: Episode VI - Return of the Jedi,1983,131,8.3,58,950470,"Action, Adventure, Fantasy"
Scarface,1983,170,8.3,65,740911,"Crime, Drama"
Amadeus,1984,160,8.3,88,369007,"Biography, Drama, History"
Idi i smotri,1985,142,8.3,,59056,"Drama, Thriller, War"
Aliens,1986,137,8.3,84,652719,"Action, Adventure, Sci-Fi"
Full Metal Jacket,1987,116,8.3,76,675146,"Drama, War"
Reservoir Dogs,1992,99,8.3,79,918562,"Crime, Drama, Thriller"
Braveheart,1995,178,8.3,68,959181,"Biography, Drama, History"
Toy Story,1995,81,8.3,95,887429,"Animation, Adventure, Comedy"
Good Will Hunting,1997,126,8.3,70,861606,"Drama, Romance"
Bacheha-Ye aseman,1997,89,8.3,77,65341,"Drama, Family, Sport"
American Beauty,1999,122,8.3,84,1069738,Drama
Requiem for a Dream,2000,102,8.3,68,766870,Drama
Snatch,2000,104,8.3,55,782001,"Comedy, Crime"
Amélie,2001,122,8.3,69,703810,"Comedy, Romance"
Eternal Sunshine of the Spotless Mind,2004,108,8.3,89,911664,"Drama, Romance, Sci-Fi"
Babam ve Oglum,2005,112,8.3,,78925,"Drama, Family"
Inglourious Basterds,2009,153,8.3,69,1267869,"Adventure, Drama, War"
Incendies,2010,131,8.3,80,150023,"Drama, Mystery, War"
Jodaeiye Nader az Simin,2011,123,8.3,95,220002,Drama
Jagten,2012,115,8.3,77,281623,Drama
Drishyam,2013,160,8.3,,30722,"Crime, Drama, Thriller"
Tumbbad,2018,104,8.3,,27793,"Drama, Fantasy, Horror"
Andhadhun,2018,139,8.3,,71875,"Crime, Drama, Music"
Miracle in cell NO.7,2019,132,8.3,,33935,Drama
1917,2019,119,8.3,78,425844,"Drama, Thriller, War"
The Great Dictator,1940,125,8.4,,203150,"Comedy, Drama, War"
Sunset Blvd.,1950,110,8.4,,201632,"Drama, Film-Noir"
Rear Window,1954,112,8.4,100,444074,"Mystery, Thriller"
Witness for the Prosecution,1957,116,8.4,,108862,"Crime, Drama, Mystery"
Paths of Glory,1957,88,8.4,90,178092,"Drama, War"
Tengoku to jigoku,1963,143,8.4,,34357,"Crime, Drama, Mystery"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,8.4,97,450474,Comedy
Anand,1971,122,8.4,,30273,"Drama, Musical"
Apocalypse Now,1979,147,8.4,94,606398,"Drama, Mystery, War"
Alien,1979,117,8.4,89,787806,"Horror, Sci-Fi"
The Shining,1980,146,8.4,66,898237,"Drama, Horror"
Raiders of the Lost Ark,1981,115,8.4,85,884112,"Action, Adventure"
Once Upon a Time in America,1984,229,8.4,,311365,"Crime, Drama"
Mononoke-hime,1997,134,8.4,76,343171,"Animation, Action, Adventure"
Memento,2000,113,8.4,80,1125712,"Mystery, Thriller"
Oldeuboi,2003,101,8.4,77,515451,"Action, Drama, Mystery"
The Lives of Others,2006,137,8.4,89,358685,"Drama, Mystery, Thriller"
Taare Zameen Par,2007,165,8.4,,168895,"Drama, Family"
WALL·E,2008,98,8.4,95,999790,"Animation, Adventure, Family"
3 Idiots,2009,170,8.4,67,344445,"Comedy, Drama"
Django Unchained,2012,165,8.4,81,1357682,"Drama, Western"
The Dark Knight Rises,2012,164,8.4,78,1516346,"Action, Adventure"
Dangal,2016,161,8.4,,156479,"Action, Biography, Drama"
Kimi no na wa.,2016,106,8.4,79,194838,"Animation, Drama, Fantasy"
Ayla: The Daughter of War,2017,125,8.4,,34112,"Biography, Drama, History"
Coco,2017,105,8.4,81,384171,"Animation, Adventure, Family"
Vikram Vedha,2017,147,8.4,,28401,"Action, Crime, Drama"
Capharnaüm,2018,126,8.4,75,62635,Drama
Avengers: Infinity War,2018,149,8.4,68,834477,"Action, Adventure, Sci-Fi"
Spider-Man: Into the Spider-Verse,2018,117,8.4,87,375110,"Animation, Action, Adventure"
Avengers: Endgame,2019,181,8.4,78,809955,"Action, Adventure, Drama"
City Lights,1931,87,8.5,99,167839,"Comedy, Drama, Romance"
Modern Times,1936,87,8.5,96,217881,"Comedy, Drama, Family"
Casablanca,1942,102,8.5,100,522093,"Drama, Romance, War"
Psycho,1960,109,8.5,97,604211,"Horror, Mystery, Thriller"
Once Upon a Time in the West,1968,165,8.5,80,302844,Western
Back to the Future,1985,116,8.5,87,1058081,"Adventure, Comedy, Sci-Fi"
Hotaru no haka,1988,89,8.5,94,235231,"Animation, Drama, War"
Nuovo Cinema Paradiso,1988,155,8.5,80,230763,"Drama, Romance"
Terminator 2: Judgment Day,1991,137,8.5,75,995506,"Action, Sci-Fi"
Léon,1994,110,8.5,64,1035236,"Action, Crime, Drama"
The Lion King,1994,88,8.5,88,942045,"Animation, Adventure, Drama"
The Usual Suspects,1995,106,8.5,77,991208,"Crime, Mystery, Thriller"
American History X,1998,119,8.5,62,1034705,Drama
Gladiator,2000,155,8.5,67,1341460,"Action, Adventure, Drama"
The Pianist,2002,150,8.5,85,729603,"Biography, Drama, Music"
The Departed,2006,151,8.5,85,1189773,"Crime, Drama, Thriller"
The Prestige,2006,130,8.5,66,1190259,"Drama, Mystery, Sci-Fi"
The Intouchables,2011,112,8.5,57,760360,"Biography, Comedy, Drama"
Whiplash,2014,106,8.5,88,717585,"Drama, Music"
Joker,2019,122,8.5,59,939252,"Crime, Drama, Thriller"
It's a Wonderful Life,1946,130,8.6,89,405801,"Drama, Family, Fantasy"
Shichinin no samurai,1954,207,8.6,98,315744,"Action, Adventure, Drama"
Seppuku,1962,133,8.6,85,42004,"Action, Drama, Mystery"
Star Wars,1977,121,8.6,90,1231473,"Action, Adventure, Fantasy"
The Silence of the Lambs,1991,118,8.6,85,1270197,"Crime, Drama, Thriller"
Se7en,1995,127,8.6,65,1445096,"Crime, Drama, Mystery"
La vita è bella,1997,116,8.6,59,623629,"Comedy, Drama, Romance"
Saving Private Ryan,1998,169,8.6,91,1235804,"Drama, War"
The Green Mile,1999,189,8.6,61,1147794,"Crime, Drama, Fantasy"
Sen to Chihiro no kamikakushi,2001,125,8.6,96,651376,"Animation, Adventure, Family"
Cidade de Deus,2002,130,8.6,79,699256,"Crime, Drama"
Interstellar,2014,169,8.6,74,1512360,"Adventure, Drama, Sci-Fi"
Gisaengchung,2019,132,8.6,96,552778,"Comedy, Drama, Thriller"
Soorarai Pottru,2020,153,8.6,,54995,Drama
Hamilton,2020,160,8.6,90,55291,"Biography, Drama, History"
One Flew Over the Cuckoo's Nest,1975,133,8.7,83,918088,Drama
Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7,82,1159315,"Action, Adventure, Fantasy"
Goodfellas,1990,146,8.7,90,1020727,"Biography, Crime, Drama"
The Matrix,1999,136,8.7,73,1676426,"Action, Sci-Fi"
The Lord of the Rings: The Two Towers,2002,179,8.7,87,1485555,"Action, Adventure, Drama"
"Il buono, il brutto, il cattivo",1966,161,8.8,90,688390,Western
Forrest Gump,1994,142,8.8,82,1809221,"Drama, Romance"
Fight Club,1999,139,8.8,66,1854740,Drama
The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,1661481,"Action, Adventure, Drama"
Inception,2010,148,8.8,74,2067042,"Action, Adventure, Sci-Fi"
Schindler's List,1993,195,8.9,94,1213505,"Biography, Drama, History"
Pulp Fiction,1994,154,8.9,94,1826188,"Crime, Drama"
The Lord of the Rings: The Return of the King,2003,201,8.9,94,1642758,"Action, Adventure, Drama"
12 Angry Men,1957,96,9.0,96,689845,"Crime, Drama"
The Godfather: Part II,1974,202,9.0,90,1129952,"Crime, Drama"
The Dark Knight,2008,152,9.0,84,2303232,"Action, Crime, Drama"
The Godfather,1972,175,9.2,100,1620367,"Crime, Drama"
The Shawshank Redemption,1994,142,9.3,80,2343110,Drama